Design,Strut Radius (um) ,Center Mass Radius (µm) ,Corner Mass Radius (um) ,Bandgap 1 Width (MHz),Bandgap 1 Center (MHz),Bandgap 2 Width (MHz),Bandgap 2 Center (MHz),Bandgap 3 Width (MHz),Bandgap 3 Center (MHz)
BC Both,5.79777018549038,16.6706191557252,6.51671503626082,0.8331,8.43435,,,,
BC Both,5.15944100891134,11.1148022329074,2.02881829139061,0.0706,2.7928,0.919000000000001,7.6228,,
BC Both,5.09214422089938,15.0014108640726,7.76516853204015,0.1207,2.44385,1.1322,7.2334,,
BC Both,4.46092964129428,10.4329748240329,1.96309387993426,0.1818,2.2849,0.6115,6.65065,,
BC Both,4.97063142035931,15.9400232557674,4.07285681930967,0.123,2.297,1.2853,7.09475,,
BC Both,5.16793280477506,12.5343479834604,4.72638021556445,0.1007,2.69255,1.1238,7.406,,
BC Both,5.14513020335182,15.8327841151999,5.26187089803304,0.0892,2.436,1.1702,7.3411,,
BC Both,4.2366159544187,19.122460589256,5.37720892116006,0.1161,1.61215,0.3952,3.8775,2.5517,6.41385
BC Both,5.05624369542472,10.6145430921339,3.17804145182135,0.0855,2.75555,0.8763,7.49375,,
BC Both,4.15850890900213,13.9058896853728,4.48331980738981,0.2058,1.7803,1.6687,5.82965,,
BC Both,5.9472129678547,16.3459032507195,1.99838855110139,0.761900000000001,8.67335,,,,
BC Both,5.48893019609662,11.2919232063096,6.9427627953013,0.894899999999999,8.21305,,,,
BC Both,5.73593924983236,10.3627382517209,6.311479174597,0.694700000000001,8.73185,,,,
BC Both,5.81922415585223,14.3048555806449,4.84837338544108,0.896699999999999,8.47805,,,,
BC Both,4.34080385168055,11.5631600845203,4.68696542990076,0.2007,2.09175,1.0418,6.2277,,
BC Both,5.96740146578561,18.7857152113036,1.86992696082712,0.9634,8.8472,,,,
BC Both,5.10617147839242,11.5597445594218,4.11295200216105,0.095,2.7235,0.984,7.453,,
BC Both,4.56999631479908,16.2035482040068,7.54769464758858,0.1676,1.9736,1.626,6.5534,,
